,VA,AV,BA,FI,HS,IM
296,0.08430096,0.14330494,0.095436886,0.2821819,0.33225173,0.06252355
297,0.04108691,0.0701126,0.084779315,0.15966797,0.59910345,0.045249853
298,0.2965757,0.28055015,0.12057224,0.08607292,0.11711333,0.09911565
299,0.11970597,0.18654777,0.14179078,0.10053864,0.24434362,0.20707329
300,0.21580759,0.2923904,0.08694712,0.14087208,0.11187613,0.1521067
301,0.1040647,0.28791648,0.09167253,0.05476524,0.31695747,0.14462358
302,0.21453582,0.07853836,0.15036248,0.062643185,0.18208411,0.31183603
303,0.111616954,0.2304608,0.28419647,0.20901209,0.07154526,0.09316843
304,0.22017191,0.27156863,0.07655564,0.23601158,0.069972515,0.12571968
305,0.09146177,0.33869854,0.1917692,0.19207528,0.10353879,0.08245646
306,0.14285712,0.12354659,0.21251665,0.30623144,0.14649338,0.06835479
307,0.17021471,0.20506674,0.051856827,0.32032737,0.15596358,0.09657083
308,0.28726217,0.092916034,0.21534167,0.12289563,0.082555234,0.19902916
309,0.21683738,0.05426199,0.09700405,0.13755566,0.22166993,0.272671
310,0.18323709,0.06151638,0.12369108,0.3443092,0.08615786,0.20108832
311,0.20167434,0.13604298,0.25608367,0.10860265,0.2469444,0.050651964
312,0.066807956,0.08266017,0.17493466,0.2040842,0.23793863,0.23357439
313,0.19120342,0.052945383,0.19892974,0.19642803,0.17148542,0.18900798
314,0.2661971,0.08039839,0.113188595,0.31813687,0.1290886,0.092990465
315,0.091976725,0.2030373,0.23320614,0.12834713,0.27958626,0.063846454
316,0.13463108,0.25155482,0.25498515,0.053066384,0.2536985,0.052064113
317,0.085266076,0.2810786,0.12542228,0.09731171,0.36592275,0.04499859
318,0.30178556,0.24197184,0.0679284,0.089267746,0.22596373,0.07308271
319,0.083336085,0.23705691,0.11507929,0.197772,0.14393032,0.22282542
320,0.11939844,0.20740901,0.18632868,0.058986805,0.298973,0.12890407
321,0.08485062,0.11745278,0.20232093,0.19534215,0.17159125,0.22844225
322,0.21630615,0.08110329,0.18904755,0.1349792,0.27226606,0.106297776
323,0.15124829,0.26404887,0.19879492,0.057727493,0.07809148,0.25008893
324,0.121356994,0.15491906,0.2534915,0.20185745,0.15070775,0.11766727
325,0.041266523,0.15953791,0.15704097,0.08841065,0.27850536,0.27523863
326,0.19824553,0.07386667,0.17637579,0.18751733,0.2730318,0.09096293
327,0.19514763,0.31866598,0.11264164,0.10483837,0.08912509,0.17958134
328,0.19364053,0.23380974,0.075347446,0.22482291,0.063790366,0.20858897
329,0.121229194,0.13026859,0.42394927,0.09145648,0.16149811,0.071598396
330,0.10953075,0.15782607,0.04742107,0.33676568,0.06803931,0.28041708
331,0.0779969,0.06118285,0.23641622,0.06769537,0.31229377,0.24441487
332,0.19362725,0.0906756,0.28149253,0.20514964,0.046060566,0.1829944
333,0.06490772,0.3096379,0.12141165,0.33486173,0.09064792,0.07853312
334,0.29465887,0.085362755,0.10220918,0.20310643,0.19875446,0.11590833
335,0.054550968,0.42107388,0.11334378,0.18125486,0.06554132,0.16423517
336,0.22485077,0.09518021,0.23820367,0.23624362,0.073187366,0.1323343
337,0.09499559,0.2068564,0.06250469,0.12614873,0.28353238,0.22596222
338,0.062247127,0.10333439,0.06344338,0.061693072,0.3311461,0.37813592
339,0.11360278,0.19918059,0.0847289,0.25441796,0.29098913,0.057080653
340,0.1395867,0.2624906,0.09449547,0.07216231,0.28556812,0.14569682
341,0.14847933,0.15045124,0.39169765,0.08669423,0.16662565,0.056051955
342,0.3252302,0.10340597,0.1031158,0.23634616,0.11439435,0.11750759
343,0.15023042,0.06667536,0.11369897,0.29858935,0.30666906,0.06413692
344,0.100050904,0.29977366,0.20932166,0.118922696,0.17322762,0.09870343
345,0.10142031,0.08465545,0.1774708,0.29935846,0.080527544,0.25656745
346,0.059932146,0.31166443,0.11460717,0.15234126,0.098395534,0.26305953
347,0.16511999,0.1113659,0.2620246,0.16307293,0.18469024,0.11372632
348,0.057287093,0.059459098,0.20600486,0.082848534,0.07249165,0.5219087
349,0.117645636,0.52182996,0.041166883,0.13464765,0.12227301,0.062436882
350,0.110142305,0.089533105,0.22887997,0.30812088,0.06929333,0.19403042
351,0.20383343,0.12219195,0.11531003,0.28184706,0.10497227,0.17184524
352,0.077000305,0.19489746,0.11684633,0.09008516,0.28785273,0.23331803
353,0.19369674,0.22208312,0.15940544,0.19549002,0.06368609,0.16563857
354,0.112478144,0.17378934,0.07821967,0.22946945,0.07966585,0.3263776
355,0.13347092,0.11787961,0.29642525,0.28791156,0.09243153,0.0718811
356,0.14641032,0.20892836,0.26233807,0.08207081,0.13637905,0.1638734
357,0.08447151,0.24601562,0.064986795,0.21242426,0.24401091,0.14809093
358,0.049233045,0.0942458,0.07954964,0.21026109,0.42961264,0.13709782
359,0.0725094,0.23907183,0.14198118,0.10453449,0.22512054,0.21678245
360,0.061315805,0.1984562,0.06843372,0.14469464,0.227876,0.2992237
361,0.27694362,0.14591461,0.1501667,0.18625532,0.1969473,0.043772373
362,0.18068898,0.22740796,0.2057849,0.07614004,0.26531246,0.04466565
363,0.28431615,0.067866184,0.13056703,0.14583455,0.14568403,0.22573203
364,0.18055366,0.3101193,0.2764051,0.050675813,0.09960861,0.08263759
