,AV1,AV2,AV3,BA,FI1,FI2,HS,IM1,IM2,IM3,IM4,PE1,PE2,VA1,VA2,VA3
82,0.05341501,0.0529503,0.055994164,0.06877674,0.07001975,0.073667906,0.0541648,0.06205874,0.06405918,0.062399667,0.062351447,0.069383375,0.070430756,0.057762668,0.062868014,0.05969747
83,0.05548348,0.054672495,0.055322353,0.06409157,0.06989683,0.07266487,0.057029728,0.05959641,0.06254206,0.06252382,0.058790557,0.06507511,0.06840995,0.063443586,0.06633123,0.06412594
84,0.05385559,0.05252476,0.05270009,0.060428526,0.07086092,0.074352816,0.05471548,0.061824877,0.064720206,0.06406105,0.05858736,0.064515896,0.069490924,0.06510433,0.06759718,0.06465998
85,0.0541549,0.053429347,0.05574663,0.06642147,0.06940929,0.07283094,0.055016033,0.060772,0.06282514,0.06237313,0.060560565,0.06663643,0.06873969,0.062166814,0.0658779,0.063039735
86,0.057127304,0.056499906,0.05655906,0.062168974,0.06815911,0.070843056,0.058936387,0.06293361,0.06468195,0.06351713,0.06116997,0.063546926,0.06586375,0.0616763,0.06317806,0.0631385
87,0.0613312,0.061651878,0.06103317,0.06333387,0.06332067,0.06438564,0.062411774,0.06350483,0.06344678,0.062884904,0.062107425,0.06149939,0.062469196,0.06192967,0.061894145,0.06279547
88,0.05981096,0.05914223,0.05893228,0.06336573,0.065967664,0.067623004,0.06067426,0.06512283,0.06578124,0.06397233,0.062350377,0.06256168,0.06489437,0.058969334,0.061025538,0.059806217
89,0.062725335,0.06333127,0.06570878,0.073603734,0.062222395,0.06245881,0.06408468,0.061171044,0.061344914,0.060896453,0.06490395,0.06495801,0.06128196,0.055376515,0.058016952,0.0579152
90,0.05239564,0.05072867,0.05220277,0.063056275,0.071894154,0.076427236,0.052048687,0.06375954,0.06641104,0.064643584,0.05984391,0.06585032,0.071344875,0.061649438,0.066316776,0.061427113
91,0.06489131,0.06551509,0.06446742,0.06496163,0.06195698,0.061727315,0.06783597,0.06368216,0.063523,0.06225279,0.06403818,0.060830668,0.05985748,0.05726822,0.0574809,0.059710916
92,0.058276176,0.05797335,0.058342688,0.06427509,0.06706091,0.06864492,0.060604293,0.06434919,0.065640666,0.06341876,0.0631931,0.065283746,0.06607365,0.057463177,0.06000438,0.059395913
93,0.060874987,0.0607172,0.06122354,0.06575352,0.06368338,0.06477545,0.061476745,0.06648007,0.06606231,0.06383761,0.06494193,0.063751556,0.06324198,0.05663834,0.058676425,0.05786496
94,0.051399373,0.049962666,0.051222604,0.061111107,0.0729063,0.07797394,0.051584642,0.064878315,0.06747552,0.06476667,0.060268015,0.06639075,0.07222943,0.06098158,0.06531308,0.061536018
95,0.05659652,0.056410793,0.056661382,0.062448904,0.06735431,0.06968844,0.058466516,0.061473195,0.06315296,0.06280364,0.060606185,0.06433143,0.065989,0.063938506,0.06489616,0.065182105
96,0.058846112,0.058327634,0.05824752,0.063251905,0.06760675,0.06945116,0.060958657,0.062709644,0.06471819,0.063224375,0.061753623,0.0631231,0.06496768,0.059692428,0.061457794,0.061663464
97,0.052903324,0.05181384,0.053538084,0.06454855,0.069980614,0.07376985,0.053089652,0.06317209,0.06542213,0.064050674,0.0612324,0.067218095,0.070192024,0.061537057,0.06548495,0.062046614
98,0.05960134,0.05966504,0.061369643,0.06924842,0.06577858,0.06724888,0.061790157,0.060382742,0.061954893,0.06132994,0.062824376,0.06550305,0.06408408,0.057905503,0.060727306,0.060586035
99,0.0564471,0.05594397,0.05679065,0.06443033,0.06892515,0.07181242,0.05844791,0.06277498,0.06523381,0.06350467,0.062354255,0.06467463,0.0661508,0.05909392,0.061722223,0.061693106
100,0.057034582,0.056480255,0.057724457,0.06577594,0.06642563,0.06845257,0.05785563,0.061968587,0.063188605,0.062844306,0.061473325,0.0651582,0.06658442,0.062039718,0.06471444,0.062279373
101,0.0512824,0.049484316,0.050915156,0.062170327,0.07229058,0.077233106,0.049935985,0.06938645,0.07110061,0.066606596,0.062316686,0.0674123,0.0734821,0.0569667,0.06261858,0.05679803
102,0.06295499,0.06289729,0.061567526,0.062545255,0.06376793,0.06386771,0.06626429,0.064417996,0.06491228,0.06327843,0.063228056,0.061438844,0.061333805,0.05852262,0.05886802,0.060134985
103,0.04961483,0.04746044,0.049005143,0.061590176,0.07447001,0.08027377,0.048047166,0.06819087,0.0706352,0.06665399,0.060501028,0.067952745,0.07554549,0.058047157,0.06459672,0.057415273
104,0.050868984,0.04903147,0.05015601,0.059840478,0.072337374,0.077607006,0.050123505,0.06751747,0.06953701,0.06610227,0.0610723,0.06613703,0.07230054,0.06122004,0.06560332,0.06054521
105,0.05793626,0.057378545,0.05806711,0.06442747,0.06656103,0.06840831,0.059268244,0.0639796,0.065234765,0.06342003,0.06299881,0.06430803,0.06541458,0.059567895,0.062101018,0.06092828
106,0.064669885,0.06536379,0.06562218,0.06785832,0.061084926,0.061016217,0.066462144,0.064522415,0.063938156,0.062238228,0.06589167,0.062485874,0.059780404,0.055120584,0.05609204,0.057853214
107,0.055893987,0.055693313,0.057153422,0.066054314,0.06858621,0.07121757,0.05719178,0.06159708,0.06329453,0.062452596,0.061130375,0.06651778,0.06776826,0.060335137,0.06322817,0.06188547
108,0.061788872,0.06158847,0.06286963,0.06827246,0.06556522,0.06709766,0.06419467,0.06493761,0.065540366,0.06265102,0.0652313,0.06370767,0.062890075,0.052430734,0.055515613,0.05571864
109,0.054807838,0.053869464,0.055289485,0.06507773,0.06878978,0.07155934,0.055961024,0.06508798,0.06670695,0.06410342,0.063183345,0.06795005,0.06925542,0.057566684,0.06180804,0.058983415
110,0.05288072,0.052145742,0.0540602,0.06587417,0.07083503,0.074814186,0.0529393,0.064073205,0.066266425,0.06391193,0.06192381,0.0684714,0.07137422,0.057892557,0.06273139,0.05980572
111,0.05587079,0.05555259,0.055858042,0.061845277,0.06616293,0.06850538,0.056993216,0.064382315,0.06513226,0.06430397,0.062159654,0.06448989,0.06601619,0.06388149,0.064813934,0.06403207
112,0.05514921,0.054195546,0.05650675,0.06626235,0.06838228,0.07200775,0.054561183,0.06962896,0.069666974,0.06514388,0.06551167,0.0667474,0.06900417,0.05358069,0.05853375,0.055117436
113,0.068914756,0.070367455,0.069575846,0.06724395,0.05969156,0.058714483,0.07331889,0.062285222,0.06191297,0.060697645,0.06541292,0.059469897,0.056335267,0.054123018,0.053881023,0.05805514
114,0.05810134,0.057455454,0.056944586,0.061459705,0.06794789,0.07009673,0.05993787,0.061968416,0.06400272,0.06315576,0.06006074,0.062674455,0.06583832,0.06273405,0.06398399,0.06363795
