,HS,VA3,VA1,FI2,FI1,IM1,IM2,VA2,AV2,PE2,AV1,AV3,IM4,BA,PE1,IM3
106,0.10823769,0.03736225,0.056219045,0.048813935,0.082320474,0.059805315,0.06400301,0.065587536,0.03547585,0.08453512,0.043956596,0.067441806,0.03324449,0.07932365,0.08173012,0.05194311
107,0.06579277,0.051132366,0.067100905,0.06947368,0.082655646,0.07169093,0.06390067,0.040814843,0.055745337,0.043000728,0.056056034,0.07444858,0.03334844,0.07881883,0.07484203,0.07117826
108,0.12695453,0.062823035,0.06827975,0.035300527,0.092778645,0.09270037,0.060619857,0.033311512,0.054254755,0.053324904,0.07192827,0.044771764,0.037856806,0.019820265,0.05129038,0.0939846
109,0.10411491,0.062454816,0.051963586,0.037837554,0.07478946,0.078891255,0.05552389,0.029056042,0.03818159,0.04599822,0.061239973,0.053676337,0.046031963,0.060571223,0.08156779,0.118101396
110,0.06516839,0.09139674,0.02537887,0.030112205,0.06853328,0.056172702,0.026442463,0.010954718,0.058510512,0.031285558,0.09897455,0.032834027,0.1115635,0.033042718,0.08064074,0.17898904
111,0.08325031,0.019390767,0.036832575,0.07874585,0.11477133,0.077632286,0.17730498,0.045441065,0.058487296,0.039577473,0.052185703,0.038864013,0.056603987,0.04317623,0.040044352,0.037691798
112,0.07126963,0.054115802,0.082254,0.054780602,0.12490976,0.044322323,0.0854738,0.03585134,0.03782549,0.019782621,0.055528253,0.028988577,0.05535243,0.09515672,0.058849245,0.09553939
113,0.12509957,0.03972888,0.065878436,0.025204906,0.04461951,0.085835926,0.06283131,0.05090062,0.05714604,0.05339256,0.110129885,0.03344031,0.0368751,0.029443068,0.04200156,0.1374723
114,0.07778519,0.03986158,0.060774103,0.046919335,0.053179804,0.0899488,0.07408068,0.057997037,0.04896115,0.06995058,0.051811162,0.06945161,0.046011668,0.07425421,0.08235321,0.05665985
115,0.10464487,0.055014465,0.040056363,0.036940467,0.08521572,0.08097798,0.06460683,0.032882154,0.03933693,0.051888257,0.08394372,0.035226718,0.05436304,0.026109645,0.035118926,0.17367394
116,0.04802614,0.10878908,0.08482471,0.06437336,0.075233325,0.053104717,0.036202446,0.067991614,0.055779994,0.070550494,0.06064865,0.071798995,0.0418594,0.046651963,0.05557421,0.058590855
117,0.09045599,0.041190248,0.06491072,0.026155293,0.04695758,0.09198322,0.07380258,0.05206419,0.030992173,0.07059454,0.04010904,0.06709645,0.045438897,0.09367856,0.09640763,0.06816288
118,0.111821085,0.09557113,0.049818557,0.06678023,0.16434799,0.046140764,0.03352665,0.038047925,0.048334643,0.07666808,0.04031288,0.075046696,0.039445356,0.025362423,0.06003553,0.02874001
119,0.034700815,0.08613465,0.096096046,0.030639926,0.047934998,0.09175459,0.05985106,0.03519317,0.042375963,0.03757135,0.042280655,0.0535598,0.06325319,0.07228259,0.106893204,0.099477984
120,0.07068377,0.032756854,0.04268435,0.05716114,0.11225379,0.09034324,0.101317696,0.032752533,0.041399304,0.05676299,0.040474925,0.060081962,0.041348655,0.071168445,0.07590783,0.07290256
121,0.076188475,0.065165736,0.058418315,0.04909503,0.107378624,0.07621678,0.06951807,0.035110746,0.051484287,0.046603978,0.051202133,0.06549059,0.059418228,0.0483496,0.07447087,0.065888554
122,0.058358848,0.0525243,0.09110931,0.025380319,0.041062787,0.05062959,0.059635323,0.055243444,0.061293077,0.036908064,0.060105626,0.06741653,0.06426316,0.114931345,0.09282064,0.068317674
123,0.12391925,0.03088449,0.031642217,0.041528534,0.0915562,0.034064308,0.041835994,0.07628453,0.03587207,0.14794828,0.0469826,0.03618987,0.044210535,0.07665709,0.09285518,0.04756887
124,0.11275852,0.031521488,0.079066046,0.01816638,0.045749187,0.092396624,0.08266643,0.038615655,0.035070483,0.040825427,0.045423504,0.06111626,0.03409025,0.08394007,0.10430902,0.09428463
125,0.0697378,0.032592554,0.061239943,0.056814592,0.09114846,0.05629844,0.10146802,0.05224094,0.087987445,0.03239284,0.0837836,0.05085696,0.05613919,0.049487527,0.048127636,0.06968411
126,0.12403,0.047579546,0.05749966,0.064257264,0.103259474,0.06897562,0.071407415,0.031526446,0.05651444,0.026214918,0.10062199,0.050074592,0.03386678,0.03660449,0.039207738,0.08835968
127,0.091002814,0.030823102,0.06208394,0.040572915,0.056622896,0.08439594,0.107889734,0.08671846,0.033274267,0.081902824,0.04547821,0.041392367,0.050568994,0.068186134,0.06158948,0.0574979
128,0.047190428,0.044593055,0.0913617,0.03210731,0.0605911,0.06514826,0.07526722,0.0536502,0.042445898,0.056198373,0.029443806,0.069433436,0.041812796,0.11062641,0.118982874,0.061147142
129,0.05773334,0.07798485,0.06342081,0.059422683,0.14021386,0.048600897,0.04292265,0.061820854,0.0299949,0.09499981,0.037315678,0.02699423,0.047147904,0.036807388,0.07939895,0.095221184
130,0.057627622,0.05386885,0.04507285,0.07460777,0.12832427,0.052027863,0.06061091,0.021879667,0.07074506,0.025679305,0.09356626,0.038000543,0.05799395,0.05255316,0.04970014,0.11774174
131,0.08166112,0.053648993,0.07060879,0.048890818,0.076764256,0.08037505,0.066339105,0.055444155,0.04586069,0.067395516,0.05067269,0.067264505,0.03635532,0.049363125,0.06896097,0.08039489
132,0.1166766,0.057899456,0.08569709,0.035262745,0.08974413,0.06364935,0.06451055,0.058027733,0.022840867,0.065130845,0.0288831,0.033822965,0.046225738,0.06061856,0.12902652,0.041983757
133,0.11606645,0.06787779,0.08582082,0.045760367,0.07920888,0.04223995,0.035286926,0.06721941,0.037761867,0.059657484,0.06957515,0.054011222,0.024772972,0.07689216,0.057676736,0.080171876
134,0.055170935,0.044125218,0.0744993,0.03132134,0.07340775,0.087073915,0.11977527,0.029987091,0.06530071,0.018533831,0.07786793,0.051113904,0.049673468,0.038045157,0.032759145,0.15134504
135,0.08138069,0.07811441,0.08796694,0.03023912,0.05262984,0.06481064,0.046035368,0.03205565,0.05694391,0.024620803,0.10555023,0.05663541,0.046048354,0.06584123,0.06291166,0.10821577
136,0.08494034,0.029263899,0.069156356,0.044126898,0.10540817,0.06199499,0.09080192,0.072094835,0.02983174,0.07437509,0.035615254,0.03443935,0.03276402,0.06595549,0.09051743,0.078714244
137,0.07731587,0.07049463,0.056726474,0.045567054,0.10857514,0.07209945,0.06379565,0.019551607,0.06751489,0.027010815,0.069039494,0.06480128,0.051607203,0.040481325,0.059457663,0.10596145
138,0.07558987,0.086508214,0.04625189,0.04901299,0.09501088,0.02050817,0.016249416,0.049976155,0.08175383,0.068611175,0.08563536,0.08495081,0.03843248,0.08748592,0.07068604,0.043336783
