"","B","CD4","CD8","mono","neu","NK"
"38",0.102869354673799,0.115496420856425,0.359348770538826,0.0596535168397255,0.223300316618782,0.152546321723075
"39",0.101530331769915,0.161665239093542,0.259482514138784,0.324479169058345,0.0202892711757525,0.145333752298428
"40",0.107335607196783,0.27480436819499,0.0368801117558789,0.172664344519093,0.224513889559171,0.19850277595354
"41",0.132119142122604,0.155645778246161,0.119213451081808,0.258520947093031,0.19016725899232,0.158771669189198
"42",0.0297805095280383,0.205786500456858,0.103885563903002,0.264260224899797,0.113384919156115,0.279174687592889
"43",0.145266855463394,0.174426892193699,0.125145299906914,0.250572235234032,0.191859024218075,0.136997253702421
"44",0.190196443006623,0.0689258115439772,0.0649609306669054,0.136238053223595,0.183007309104215,0.250154126515942
"45",0.0888996704667929,0.186732134365605,0.281648507801127,0.0662001135625256,0.216636362961698,0.163583769728509
"46",0.128625919838624,0.140263305415344,0.179133223462258,0.151743543280765,0.247572187854302,0.164195747704588
"47",0.014576045565478,0.274855742122219,0.0604831323728975,0.365442355942242,0.179898058807541,0.112567109712486
"48",0.101327879301497,0.123517048581626,0.285066975583087,0.219121418014681,0.128038088258763,0.152673435798081
"49",0.0247195679814571,0.229299672241751,0.121969064851365,0.234573215347377,0.214551812441656,0.180499193003057
"50",0.191793099687965,0.125071008777181,0.149138668172317,0.258676190385932,0.09315500394361,0.0511142225816523
"51",0.107288921536654,0.146465974769768,0.359563187704549,0.154708385972527,0.165443809997094,0.0819719463555696
"52",0.0463616429335052,0.127828680910144,0.217105312717435,0.184076164147062,0.233166470564293,0.197381276349444
"53",0.130149004963664,0.227538174081659,0.169642470649441,0.187522469757374,0.124074692289625,0.175996047053191
"54",0.133003854657659,0.177326158369306,0.202690535439393,0.152006245055406,0.0943615856791782,0.263239919976835
"55",0.0753660379392896,0.270954288886105,0.0307462488681037,0.0200863594407066,0.121678037677034,0.109048864024274
"56",0.104699017541726,0.160861312299307,0.221069407423126,0.188116919788461,0.069050294676398,0.254603923322811
"57",0.0227362820118152,0.0519628532748102,0.351348074118309,0.197602074581244,0.0971433943248258,0.272896163053505
"58",0.101280294513752,0.296296756672845,0.292636407805708,0.125976073736364,0.0449623708866736,0.152848478624115
"59",0.126344691361674,0.166037587529556,0.347844919145348,0.19115042383419,0.0775039457032023,0.109917821851717
"60",0.139415294821897,0.210664940971081,0.165160655125928,0.303558843506567,0.012795500014439,0.0922179350460201
"61",0.339727464540871,0.151030716898528,0.178223044847035,0.037850469727501,0.133232020940039,0.0349083814756798
"62",0.161730214268788,0.179589842338313,0.284371733920743,0.169567296072094,0.194916523078265,0.0293126033720392
"63",0.0943542453855098,0.0676273153970214,0.324751648120892,0.130238549700818,0.0215859704658858,0.364264683671222
"64",0.0916105459743553,0.0383873831276522,0.177492197854794,0.287638235775889,0.238061170017202,0.180737070156413
"65",0.137628688937357,0.204888886366617,0.0605140848925508,0.401894661084534,0.0668923130775223,0.0210811138869379
"66",0.0255693281304461,0.22480389344959,0.236671888379108,0.19445103684363,0.037472162643902,0.297718053324439
"67",0.0265109850757882,0.0140302717800831,0.35818424097146,0.230974703694577,0.22731138737459,0.160187854768692
"68",0.148097041395257,0.164005540840755,0.111232209887164,0.213040999504801,0.207568352539709,0.0145406644526764
"69",0.120507556968302,0.177821820283803,0.281463450459377,0.217045282639378,0.0388411884695387,0.176597031214509
