,G1,S,G2
346,0.3336753,0.34356162,0.32276306
347,0.33341053,0.30739316,0.35919628
348,0.32731524,0.40316495,0.26951978
349,0.38203636,0.2151989,0.40276477
350,0.34394354,0.3234906,0.33256584
351,0.35198373,0.36995286,0.27806342
352,0.11568451,0.13025078,0.7540646
353,0.3418848,0.33205965,0.32605556
354,0.27888975,0.37924308,0.34186715
355,0.31790435,0.4103334,0.27176222
356,0.35352924,0.3350026,0.31146815
357,0.3209046,0.42255962,0.25653574
358,0.17614922,0.5429427,0.28090808
359,0.387051,0.29745898,0.31549007
360,0.49592417,0.09142403,0.41265187
361,0.3349607,0.33608407,0.32895523
362,0.36462545,0.3484611,0.28691342
363,0.47411862,0.09190714,0.43397424
364,0.1966168,0.42073196,0.38265118
365,0.36820072,0.26086745,0.37093177
366,0.34451985,0.36912104,0.2863591
367,0.43467975,0.17135517,0.39396507
368,0.33967146,0.38832077,0.2720077
369,0.11301588,0.5230387,0.36394545
370,0.1843975,0.4350947,0.38050777
371,0.2560051,0.4909351,0.2530598
372,0.37939757,0.28622618,0.3343762
373,0.40947738,0.28153354,0.30898905
374,0.24762912,0.3987933,0.35357758
375,0.17922711,0.35037985,0.47039306
376,0.28178975,0.4464766,0.2717336
377,0.17930315,0.47336185,0.34733495
378,0.3178587,0.3751864,0.3069549
379,0.34317026,0.34851077,0.30831894
380,0.4359625,0.20158309,0.36245438
381,0.3752297,0.33269244,0.29207784
382,0.35583106,0.33517107,0.30899787
383,0.3336549,0.37063894,0.29570612
384,0.33434665,0.38731852,0.2783348
385,0.35289314,0.32760677,0.3195001
386,0.446741,0.1703854,0.38287362
387,0.40048596,0.25129575,0.34821826
388,0.3452259,0.36510867,0.2896655
389,0.15298618,0.3864661,0.46054775
390,0.10757052,0.5121605,0.380269
391,0.39604056,0.283954,0.32000545
392,0.48336682,0.10009421,0.41653898
393,0.425079,0.24259359,0.33232746
394,0.110547185,0.51190823,0.3775446
395,0.3873423,0.27942386,0.3332338
396,0.34811446,0.3284369,0.32344863
397,0.43839633,0.16096584,0.40063784
398,0.41763395,0.26368126,0.31868482
399,0.499864,0.041591644,0.45854428
400,0.27365944,0.47724494,0.24909559
401,0.2809366,0.40917715,0.30988625
402,0.39278394,0.24284488,0.36437115
403,0.42366707,0.24606735,0.33026552
404,0.31960097,0.32402945,0.3563696
405,0.2994204,0.35294992,0.34762973
406,0.20796123,0.46060154,0.33143726
407,0.3746088,0.29765838,0.32773283
408,0.32419556,0.4107097,0.26509476
409,0.42924812,0.15562649,0.41512537
410,0.11470258,0.47882807,0.40646937
411,0.08898316,0.3077416,0.6032752
412,0.3255292,0.3550921,0.31937864
413,0.3199183,0.2913765,0.38870522
414,0.34886584,0.070134334,0.5809998
415,0.21832809,0.4496819,0.33199
416,0.23821509,0.40441975,0.35736516
417,0.34695375,0.36272803,0.2903182
418,0.16183388,0.55549973,0.28266633
419,0.22765288,0.3963222,0.37602496
420,0.33097163,0.4050811,0.26394725
421,0.33388677,0.3679429,0.29817033
422,0.12455454,0.24027388,0.6351716
423,0.325176,0.32892475,0.34589922
424,0.3334044,0.40097043,0.2656252
425,0.13695158,0.08377957,0.77926886
426,0.3265957,0.34826237,0.32514197
427,0.36521122,0.2964058,0.33838296
428,0.36694083,0.32056525,0.31249395
429,0.12543233,0.5771934,0.29737425
430,0.32998163,0.38225394,0.2877644
431,0.4060377,0.024349557,0.56961274
432,0.3152746,0.32045412,0.36427128
433,0.15039028,0.5274598,0.3221499
434,0.19722457,0.41273558,0.3900398
435,0.21235205,0.51604456,0.27160338
436,0.32271242,0.3608994,0.31638822
437,0.34923103,0.32994032,0.32082862
438,0.31333584,0.35056335,0.33610085
439,0.1961317,0.4742949,0.32957336
440,0.28643495,0.2663985,0.44716662
441,0.3359933,0.3230402,0.3409665
442,0.37158108,0.3021606,0.32625833
443,0.44183907,0.1725348,0.38562614
444,0.33997628,0.023292445,0.63673127
445,0.31021035,0.43248174,0.25730795
446,0.32576683,0.40399083,0.2702424
447,0.3255292,0.3550921,0.31937864
448,0.3249815,0.3611485,0.31387
449,0.14526108,0.5662828,0.28845614
450,0.3746088,0.29765838,0.32773283
451,0.32232025,0.37183526,0.3058445
452,0.43893993,0.1978008,0.36325923
453,0.36368835,0.3327171,0.3035946
454,0.37031454,0.3000447,0.32964078
