,VA,AV,BA,FI,HS,IM
211,0.24815027,0.28727466,0.036331575,0.033254046,0.34000507,0.054984305
212,0.17629355,0.063869916,0.12326592,0.21207318,0.3335873,0.090910174
213,0.39539945,0.13853022,0.27184263,0.0995939,0.041753642,0.0528802
214,0.3574861,0.12284699,0.2154539,0.20483832,0.035723716,0.06365096
215,0.2172542,0.18854475,0.18764389,0.056054167,0.25294888,0.09755405
216,0.3201078,0.06244212,0.035506316,0.10886,0.22528224,0.24780148
217,0.21815915,0.24239355,0.23448311,0.13440764,0.11413964,0.056416947
218,0.3290112,0.07065615,0.28376997,0.14858577,0.1067478,0.061229125
219,0.058857027,0.101042494,0.18767436,0.37811223,0.17502053,0.09929337
220,0.06550795,0.058789175,0.2802423,0.0643255,0.36621234,0.16492268
221,0.12004313,0.253571,0.29673013,0.09309751,0.20593838,0.030619878
222,0.097424455,0.1531483,0.08306097,0.3738922,0.23592763,0.056546424
223,0.32109746,0.14521874,0.05266601,0.21959649,0.10830614,0.15311515
224,0.05264574,0.04678935,0.08916904,0.23719046,0.3928152,0.18139026
225,0.19861299,0.29287502,0.27813587,0.047280267,0.082355365,0.1007405
226,0.21709307,0.04216224,0.119964525,0.30644795,0.119867526,0.19446474
227,0.20649835,0.20229428,0.32537264,0.059081856,0.06748488,0.13926795
228,0.12968527,0.19017352,0.4863477,0.047349274,0.07276113,0.07368309
229,0.19112371,0.053268827,0.07269918,0.37971932,0.06234812,0.24084084
230,0.11402408,0.16675249,0.16647142,0.13685358,0.1954448,0.22045358
231,0.0691861,0.21788198,0.04865801,0.042156145,0.31409127,0.30802652
232,0.14695944,0.33432466,0.107559845,0.0958892,0.1613264,0.15394051
233,0.3639744,0.12454164,0.18781212,0.15023825,0.0674943,0.1059393
234,0.19877169,0.16889179,0.23030646,0.05759616,0.08196032,0.2624736
235,0.07838881,0.054538,0.20382969,0.12052611,0.04276344,0.499954
236,0.2382925,0.07604863,0.29887682,0.20373613,0.037444018,0.14560191
237,0.27401587,0.15403686,0.07340155,0.055710483,0.40807804,0.034757186
238,0.054595113,0.16916889,0.18842854,0.118891634,0.12261555,0.3463003
239,0.089585416,0.37807792,0.108009234,0.13352577,0.24715196,0.043649632
240,0.07636281,0.06550726,0.1947442,0.28741458,0.097744234,0.2782269
241,0.057951815,0.44043732,0.11265824,0.1348453,0.21822469,0.035882592
242,0.048957627,0.32404444,0.04951721,0.05070565,0.4990956,0.027679527
243,0.16546878,0.15840736,0.24081208,0.25076792,0.14247571,0.042068157
244,0.31167454,0.21561028,0.15706936,0.17476627,0.08802703,0.0528525
