,G1,S,G2
416,0.17515506,0.6395644,0.18528052
417,0.4692186,0.28735924,0.2434221
418,0.37706375,0.30647776,0.31645852
419,0.08820247,0.7789069,0.13289067
420,0.20349471,0.7199632,0.07654213
421,0.4690184,0.1757522,0.35522944
422,0.47622406,0.28887776,0.23489812
423,0.40170306,0.4747653,0.12353168
424,0.5355691,0.3084253,0.15600555
425,0.07686269,0.80398566,0.11915164
426,0.60132,0.1237629,0.27491713
427,0.3460092,0.0744194,0.5795714
428,0.07792139,0.7861234,0.13595518
429,0.038780678,0.1641346,0.7970847
430,0.42371547,0.24074599,0.33553854
431,0.12023425,0.59975713,0.28000864
432,0.5104427,0.23436539,0.25519192
433,0.12943377,0.49163195,0.3789342
434,0.57999986,0.124657094,0.29534307
435,0.5881076,0.22447824,0.18741418
436,0.057191323,0.47666153,0.46614718
437,0.6932748,0.13507602,0.1716492
438,0.6492816,0.20206614,0.1486523
439,0.6608106,0.09410438,0.24508499
440,0.6546201,0.13898438,0.20639543
441,0.67133707,0.12393527,0.20472771
442,0.39900482,0.49863017,0.10236503
443,0.36632642,0.4942354,0.13943812
444,0.47927377,0.20439523,0.31633097
445,0.46327934,0.35815078,0.17856984
446,0.6026651,0.25194603,0.1453888
447,0.4261481,0.43423736,0.13961451
448,0.6625786,0.10797936,0.229442
449,0.3314909,0.46525493,0.20325415
450,0.56795686,0.061158147,0.37088495
451,0.5772366,0.20534725,0.21741611
452,0.46972933,0.2695448,0.26072586
453,0.44498745,0.096068054,0.4589445
454,0.6756255,0.16061082,0.16376364
455,0.43884408,0.29682842,0.26432747
456,0.05879877,0.72762656,0.21357465
457,0.6361193,0.1297511,0.23412958
458,0.60822666,0.108531214,0.28324208
459,0.3635097,0.5054125,0.13107775
460,0.5286614,0.27258864,0.19874997
461,0.45327514,0.40064117,0.1460837
462,0.64007634,0.13234024,0.22758347
463,0.50388575,0.28963053,0.20648372
464,0.56014526,0.056338523,0.3835162
465,0.44337898,0.335903,0.220718
466,0.13893488,0.7569589,0.10410622
467,0.57526904,0.27581787,0.14891307
468,0.39910403,0.33733612,0.2635599
469,0.09663376,0.49693036,0.40643594
470,0.66123265,0.09779458,0.24097282
471,0.036896113,0.12079921,0.84230465
472,0.40416324,0.29863772,0.297199
473,0.14999722,0.539893,0.31010973
474,0.2729883,0.5799472,0.14706454
475,0.07611855,0.73272705,0.19115447
476,0.09057677,0.06341279,0.84601045
477,0.6440947,0.09628583,0.25961947
478,0.50281835,0.3734738,0.1237079
479,0.6539364,0.101890035,0.24417354
480,0.6679636,0.18542278,0.14661363
481,0.51016027,0.325638,0.16420174
482,0.61473936,0.1876044,0.19765627
483,0.3475543,0.19687144,0.45557424
484,0.46946883,0.29295853,0.23757263
485,0.16636224,0.5246966,0.30894113
486,0.14085041,0.72148514,0.13766445
487,0.3554989,0.5426245,0.10187662
488,0.3872851,0.33403456,0.27868032
489,0.12628119,0.62218654,0.25153223
490,0.20974039,0.71634156,0.07391809
491,0.45111093,0.4065956,0.14229345
492,0.05599345,0.809839,0.13416754
493,0.6571062,0.1038952,0.23899858
494,0.5643831,0.2853438,0.15027317
495,0.39803794,0.3298683,0.27209374
