,G1,S,G2
171,0.5548227,0.30135968,0.1438177
172,0.06395514,0.42138803,0.5146568
173,0.5877422,0.11334453,0.2989132
174,0.511064,0.04673653,0.44219947
175,0.41498482,0.24939176,0.3356234
176,0.6412564,0.20190418,0.15683948
177,0.12828894,0.49616677,0.37554437
178,0.108795755,0.5460229,0.34518135
179,0.14258422,0.6961909,0.1612249
180,0.467317,0.09145404,0.44122896
181,0.32356012,0.59644526,0.079994574
182,0.6614169,0.10135733,0.23722583
183,0.025078448,0.14217122,0.8327503
184,0.5475656,0.26338944,0.18904495
185,0.05884265,0.5841218,0.35703552
186,0.28752458,0.6090052,0.10347018
187,0.47136122,0.30609554,0.22254328
188,0.4627477,0.39886668,0.1383856
189,0.698352,0.12541598,0.176232
190,0.14752506,0.68046457,0.17201038
191,0.27490255,0.32035223,0.4047452
192,0.39552352,0.04600222,0.55847424
193,0.4169316,0.4795267,0.10354167
194,0.08391321,0.75100917,0.1650776
195,0.06827034,0.48733723,0.44439238
196,0.6841946,0.13175306,0.18405227
197,0.3872093,0.51928455,0.09350618
198,0.6834071,0.10770753,0.2088853
199,0.6459457,0.12294936,0.23110488
200,0.18360868,0.6691322,0.14725918
201,0.07990783,0.53784096,0.38225117
202,0.090079375,0.61492234,0.29499823
203,0.63883126,0.12491439,0.23625441
204,0.42345995,0.31302574,0.26351437
205,0.5916788,0.25329542,0.15502582
206,0.075619645,0.4994896,0.42489082
207,0.07022144,0.61265683,0.3171217
208,0.10811192,0.512391,0.3794971
209,0.10811192,0.512391,0.3794971
210,0.114104494,0.5991295,0.28676602
211,0.51914537,0.08997337,0.39088127
212,0.07809486,0.61894935,0.30295575
213,0.60152996,0.19004743,0.20842263
214,0.24772811,0.6729919,0.079280026
215,0.32491714,0.036970858,0.638112
216,0.5597576,0.18537703,0.25486544
217,0.34429148,0.2489819,0.40672666
218,0.67078376,0.114829145,0.21438706
219,0.58708704,0.23671901,0.17619398
220,0.091848366,0.7065444,0.20160729
221,0.35443658,0.2182294,0.42733398
222,0.41911414,0.4441907,0.13669518
223,0.10999184,0.44128987,0.44871834
224,0.09070221,0.48765725,0.4216405
225,0.14480205,0.745728,0.10946993
226,0.40101093,0.46601462,0.1329744
227,0.052208148,0.08368608,0.86410576
228,0.07942471,0.35483393,0.56574136
229,0.37764564,0.42247126,0.19988316
230,0.3246263,0.5696005,0.10577315
231,0.60571873,0.17229763,0.22198373
232,0.113310136,0.29124212,0.5954477
233,0.47762755,0.28995574,0.2324167
234,0.05040621,0.30309683,0.64649695
235,0.44105607,0.42084104,0.13810292
236,0.3646405,0.4764189,0.1589406
237,0.44549516,0.39778352,0.15672134
238,0.13534576,0.6917468,0.17290749
239,0.62420326,0.21990682,0.1558899
240,0.51459503,0.17593355,0.30947137
241,0.38482887,0.45570982,0.15946133
242,0.44323692,0.26709417,0.28966886
243,0.065068156,0.69567245,0.23925932
244,0.03788268,0.09952711,0.86259025
245,0.45054397,0.39140022,0.15805578
246,0.67791414,0.15929355,0.16279237
247,0.07692293,0.4358071,0.4872699
248,0.056227017,0.34723407,0.5965389
249,0.09997724,0.6163244,0.28369838
250,0.060246963,0.41598964,0.52376336
251,0.5116848,0.20936182,0.27895334
252,0.16557544,0.253952,0.5804725
253,0.045353033,0.38461924,0.57002765
254,0.6774464,0.08981539,0.23273812
255,0.08570431,0.17527501,0.73902065
256,0.5982967,0.21750264,0.18420067
257,0.51579756,0.16338539,0.32081702
258,0.6172897,0.20692793,0.1757824
259,0.15097716,0.6246751,0.22434777
260,0.41318965,0.4520899,0.13472044
261,0.1656797,0.052303072,0.78201723
262,0.06565343,0.72787976,0.20646685
263,0.56347495,0.22247246,0.21405265
264,0.42996642,0.2913611,0.27867246
265,0.09521594,0.059130903,0.84565306
266,0.053116374,0.37134087,0.57554275
267,0.34347004,0.5120079,0.14452206
268,0.6872413,0.12722076,0.18553786
269,0.26655605,0.12106091,0.61238307
270,0.6642331,0.15491232,0.18085457
271,0.040274758,0.08656174,0.8731636
272,0.6544155,0.08519753,0.26038697
273,0.40045404,0.34240818,0.25713778
274,0.58572507,0.10085709,0.31341788
275,0.12498103,0.77253366,0.10248531
276,0.07213752,0.7461913,0.18167123
277,0.47754103,0.30552799,0.21693102
278,0.14011571,0.14709236,0.71279186
279,0.3312711,0.39345732,0.27527156
280,0.066483945,0.28274646,0.65076965
281,0.05122326,0.14922847,0.79954827
282,0.054546818,0.270275,0.67517823
283,0.1134019,0.7462168,0.14038132
284,0.6167402,0.20203446,0.18122534
285,0.6187037,0.20591252,0.17538373
286,0.16555673,0.76219934,0.07224394
287,0.14241011,0.04237543,0.81521446
288,0.06430303,0.59867436,0.3370226
289,0.5912771,0.106093824,0.30262905
290,0.053107575,0.053169094,0.89372337
291,0.12282323,0.37834978,0.49882695
292,0.1149666,0.6824597,0.20257364
293,0.5895223,0.18043941,0.23003826
294,0.6894717,0.13927642,0.17125188
295,0.05040621,0.30309683,0.64649695
296,0.61489975,0.21833472,0.16676553
297,0.5349021,0.17749487,0.28760308
298,0.5889244,0.07187581,0.33919984
299,0.6754467,0.12248816,0.2020652
300,0.61693114,0.11431205,0.26875684
301,0.08635272,0.6255267,0.28812054
302,0.53234,0.29691654,0.17074348
303,0.5388512,0.2751922,0.18595655
304,0.38976696,0.23848331,0.37174973
305,0.05848273,0.49438953,0.44712767
306,0.13841704,0.7560884,0.10549456
307,0.6689725,0.1541705,0.17685702
308,0.40685418,0.46120816,0.13193767
309,0.65199304,0.14052577,0.20748118
310,0.6422154,0.15447971,0.20330492
311,0.36878017,0.3738366,0.2573832
312,0.45086867,0.38760623,0.16152513
313,0.40496314,0.41873932,0.17629755
314,0.2844431,0.6052141,0.11034273
315,0.41169393,0.40563542,0.18267065
316,0.4645901,0.29381573,0.24159412
317,0.08184144,0.73074234,0.18741623
318,0.62391657,0.06909868,0.3069848
319,0.0667892,0.37585196,0.55735886
320,0.06978169,0.05056472,0.8796537
321,0.6633661,0.11352651,0.22310743
322,0.30693445,0.034067243,0.6589983
323,0.66539633,0.10784827,0.22675535
324,0.116771944,0.40553325,0.47769478
325,0.09657016,0.48154652,0.42188329
326,0.36666274,0.43292168,0.20041561
327,0.04108875,0.34090096,0.6180103
328,0.5628057,0.2920833,0.14511098
329,0.63702035,0.19964485,0.16333482
330,0.0900799,0.5741549,0.33576515
331,0.6728661,0.1738844,0.15324955
332,0.6720027,0.13986874,0.18812859
333,0.044390507,0.3901558,0.56545377
334,0.5685852,0.07321904,0.35819575
335,0.07029736,0.5355702,0.3941324
336,0.4249546,0.33710742,0.23793797
337,0.37360457,0.30849937,0.3178961
338,0.6153414,0.19555397,0.18910457
339,0.35370788,0.31604448,0.33024767
